"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"Syne2","1","1","20","10","0.0854092018079614"
"Tpr","1","1","24","6","0.0646595924844737"
"Ranbp2","1","1","24","6","0.0278358871720149"
"Plec","1","1","24","18","0.09089394864864"
"Syne1","1","0.611111111111111","20","12","0.277353603736308"
"Prpf8","1","1","20","14","0.0831471148529095"
"Numa1","1","1","20","0","0.149870185724696"
"Snrnp200","1","1","24","18","0.121993889165507"
"Myh9","1","1","20","10","0.0564561362310262"
"Lmna","1","1","20","10","0.0726917915504173"
"Sptan1","1","1","20","8","0.239410331245718"
"Son","0.839847417840376","0.183333333333333","24","16","0.118306826359527"
"Lmnb1","1","1","20","10","0.143121233173553"
"Ahctf1","1","1","20","10","0.0477403544147022"
"Nup98","1","1","24","12","0.0920775322537851"
"Sf3b2","1","1","24","18","0.154527148908735"
"Sf3b1","1","1","20","14","0.170509152256421"
"Pdcd11","1","1","20","10","0.0905099318076766"
"Rrbp1","1","1","24","0","0.150940511450954"
"Hnrnpm","1","0.611111111111111","20","16","0.246756315014922"
"Polr2a","0.839847417840376","0.183333333333333","20","18","0.0810008501301862"
"Lmnb2","1","1","20","10","0.168270969877192"
"Utp20","1","1","24","6","0.0383919417735976"
"Mybbp1a","0.839847417840376","0.183333333333333","24","18","0.124341572353199"
"Dhx9","1","0.611111111111111","20","16","0.208603553928067"
"Smc1a","1","1","24","6","0.125021608091398"
"Sfpq","1","1","20","10","0.19330484586166"
"Supt6h","1","1","24","10","0.0557116862289103"
"Acin1","1","1","20","16","0.114007741970604"
"Krt8","1","1","20","6","0.18609650295998"
"Chd4","1","1","24","6","0.265961554630382"
"Znf638","1","1","20","10","0.0632809865814316"
"Nup155","1","1","20","10","0.160892598347301"
"Sptbn1","1","0.611111111111111","20","6","0.154720090721273"
"Urb1","1","1","20","18","0.132609836261324"
"Trrap","0.606912637828668","0.0305555555555556","20","16","0.25137701314957"
"Myh1","1","1","20","18","2.53690909257932"
"Nup93","1","1","20","10","0.0715460531273691"
"Atrx","0.606912637828668","0.0305555555555556","24","4","0.289295939281429"
"Prpf6","1","0.611111111111111","24","18","0.0637910024425018"
"Spen","0.839847417840376","0.183333333333333","24","22","0.0812432742523927"
"Nup210","1","1","20","10","0.102779243443052"
"Thrap3","1","1","20","10","0.213142192613657"
"Srrm2","1","1","20","14","0.0879388608378023"
"Myh4","1","1","20","18","1.7562259333897"
"Nup107","1","1","20","10","0.0869391130889839"
"Ddx21","0.839847417840376","0.183333333333333","20","18","0.169522912702157"
"Nup214","1","0.611111111111111","20","14","0.0678160885505694"
"Smchd1","1","0.611111111111111","20","14","0.134339746050518"
"Lrp1","0.839847417840376","0.183333333333333","24","4","0.305643647826166"
"Sf3b3","1","1","20","16","0.0608692049485179"
"Dsp","0.839847417840376","0.183333333333333","24","8","0.515611558167257"
"Dido1","1","0.611111111111111","20","6","0.245992685225742"
"Nipbl","1","1","24","6","0.0914571776143791"
"Sltm","1","1","20","14","0.093802651571597"
"Mad1l1","0.839847417840376","0.183333333333333","20","16","0.132651134338781"
"Tasor","1","1","24","18","0.151807612981696"
"Smc3","1","1","20","10","0.152801292857648"
"Mia3","1","1","20","10","0.261323931805762"
"Top2b","1","1","24","6","0.0557245413414654"
"Cdc5l","1","1","20","8","0.165966286090834"
"Itpr2","1","1","24","12","0.104695253445292"
"Smarca5","1","0.611111111111111","20","18","0.235159947518013"
"Sf3a1","1","1","20","16","0.0678771847686784"
"Matr3","1","1","20","0","0.224737783390916"
"Eppk1","1","1","20","6","0.140715441667953"
"Ddx5","1","1","24","18","0.0418255808796737"
"Myh10","1","1","20","4","0.234825928383571"
"Setd2","1","1","24","18","0.237764494224248"
"Safb2","0.839847417840376","0.183333333333333","24","18","0.188030623739837"
"Tor1aip1","1","1","20","10","0.190142602048049"
"Myh2","1","1","20","0","0.954349780983516"
"Cebpz","1","1","20","18","0.0681249667278419"
"Polr2b","1","0.611111111111111","20","0","0.0603476486093723"
"Pnn","1","0.611111111111111","20","16","0.172299174553438"
"Nono","1","1","20","10","0.166830999239644"
"Ccar1","1","1","20","2","0.451922128974316"
"Nup133","1","1","20","10","0.123541590792592"
"Sart1","1","1","20","16","0.0992800778033332"
"Flna","1","1","20","0","0.445197336270835"
"Chd2","1","0.611111111111111","20","6","0.150878054981407"
"Nup188","1","1","20","12","0.105897824212889"
"Mcm3ap","1","1","20","12","0.0943581517774361"
"Sympk","0.606912637828668","0.0305555555555556","24","20","0.107598220040542"
"Sun2","1","1","24","12","0.299745702278265"
"Thoc2","1","1","24","18","0.073094323369251"
"Nol8","1","1","24","6","0.0869010325574206"
"U2surp","1","1","24","18","0.151150143345236"
"Baz1b","1","1","20","0","0.185081480197867"
"Trip12","1","1","20","0","0.15678264271633"
"Krt18","1","1","20","6","0.184348278524308"
"Dync1h1","1","1","20","18","0.227515045090852"
"Safb","0.839847417840376","0.183333333333333","20","16","0.364621944603534"
"Fbn1","1","1","20","4","1.58361425706685"
"Nxf1","1","1","20","10","0.156804484828181"
"Rbm10","1","1","20","8","0.104897182775874"
"Rbm25","1","0.611111111111111","24","18","0.168762363160526"
"Smarcc2","1","1","20","2","0.149910384244278"
"Lemd3","1","0.611111111111111","20","14","0.0437940003651166"
"Pbrm1","1","1","20","0","0.352272747857094"
"Nop56","1","0.611111111111111","20","16","0.190038876534786"
"Ddx18","1","1","20","12","0.138946696998116"
"Myh11","1","1","20","10","1.40292019903822"
"Canx","1","1","24","12","0.113742144312276"
"Nop14","1","1","20","4","0.0891647982155488"
"Ddx17","1","1","20","10","0.101805924820942"
"Cpsf1","1","1","24","0","0.0897684930171655"
"Cps1","1","0.611111111111111","20","6","0.209473783098424"
"Eftud2","1","1","20","14","0.0470432557532904"
"Srrt","1","1","24","18","0.163283592216937"
"Tcerg1","1","1","20","16","0.105642676110197"
"Pds5b","1","0.611111111111111","24","10","0.143746060193438"
"Rrp12","1","1","24","22","0.114238918129805"
"Itpr1","0.839847417840376","0.183333333333333","20","8","0.17947574629188"
"Ints1","1","0.611111111111111","20","16","0.149841992110627"
"Itpr3","1","0.611111111111111","20","8","0.150596436526652"
"Tln1","0.839847417840376","0.183333333333333","24","4","0.146448686481739"
"Rbbp6","1","1","24","0","0.13178553017441"
"Hnrnpa2b1","1","1","20","2","0.119968794661666"
"Zbtb20","0.839847417840376","0.183333333333333","20","18","0.339210063528469"
"Nat10","1","1","20","16","0.103262147435356"
"Fn1","1","1","20","18","0.24223529374802"
"Flnb","1","0.611111111111111","20","4","0.238897394686128"
"Rpn1","0.606912637828668","0.0305555555555556","24","8","0.140735490021451"
"Hspa8","1","0.611111111111111","20","18","0.315233523399514"
"Hnrnpa3","1","1","20","16","0.115078575221941"
"Dhx15","1","0.611111111111111","24","14","0.0252588256149082"
"Ddx27","1","1","20","18","0.175172976099463"
"Vim","1","1","20","0","0.0124707023999373"
"Ttn","1","1","20","12","1.92086345929057"
"Ep400","1","1","20","16","0.255070667921677"
"Wdr33","1","0.611111111111111","24","20","0.0691185270254538"
"Atp1a1","0.839847417840376","0.183333333333333","20","8","0.375707818492413"
"Hspg2","1","1","20","4","0.46091359213824"
"Pds5a","1","1","20","10","0.130056609631224"
"Hnrnpul2","1","1","20","0","0.255561420718727"
"Nop58","1","1","20","16","0.209425809425298"
"Chd1","1","1","20","18","0.215241675614319"
"Ilf3","1","1","20","2","0.181569673248231"
"Top1","1","1","24","6","0.137601800537783"
"Wdr3","0.839847417840376","0.183333333333333","20","18","0.266125639350962"
"Atp2a2","1","1","20","4","0.0784478995857207"
"Ik","1","1","20","8","0.0415275660799428"
"Supt5h","1","1","20","16","0.081100418283962"
"Gtpbp4","1","1","20","10","0.0823519889150847"
"Hnrnpu","1","1","20","16","0.0971246439836173"
"Prpf40a","1","0.611111111111111","24","18","0.220228597420489"
"Ddx46","1","1","24","18","0.166282433794996"
"Tfip11","1","1","20","14","0.0929701247186124"
"Wdr75","0.839847417840376","0.183333333333333","20","18","0.264868243489005"
"Xab2","1","1","20","14","0.263006144240443"
"Rbm15","1","1","20","8","0.0846206876615701"
"Ctr9","1","1","20","0","0.179703389360081"
"Tmpo","1","1","20","16","0.243811108408417"
"Zc3h18","1","1","20","2","0.122234498024602"
"Brd4","0.839847417840376","0.183333333333333","24","6","0.183161554403891"
"Exosc10","1","1","20","4","0.112889818070109"
"Mtrex","1","1","20","4","0.146272891762678"
"Thoc5","1","0.611111111111111","24","18","0.165168406146735"
"Ncor2","0.606912637828668","0.0305555555555556","20","18","1.22346469304667"
"Nup160","1","1","20","10","0.0830673759327292"
"Ints6","0.839847417840376","0.183333333333333","20","16","0.18443774326621"
"Ncor1","1","0.611111111111111","20","18","0.950451470189246"
"Polr1a","0.839847417840376","0.183333333333333","20","16","0.45927350232105"
"Prpf3","1","1","20","8","0.0807082986801031"
"Fbl","1","1","24","18","0.126000664052102"
"Rbmxl1","1","0.611111111111111","24","20","0.198857517508446"
"Macf1","1","1","24","18","0.532542250366443"
"Znf326","1","1","20","16","0.121851363069298"
"Prox1","0.606912637828668","0.0305555555555556","20","18","0.490530794259577"
"Stag2","1","1","24","6","0.181056902417471"
"Gpatch8","1","0.611111111111111","24","20","0.0992010780925099"
"Iqgap2","1","1","20","16","0.0915758571663898"
"Utp14a","1","1","20","4","0.160722100059018"
"Med12","0.606912637828668","0.0305555555555556","20","14","0.107085501895192"
"Supt16h","1","1","20","6","0.174405705551096"
"Smarca2","1","1","20","0","0.28621293442595"
"Bclaf1","1","0.611111111111111","24","14","0.238822522664902"
"Plrg1","1","1","20","8","0.128798989999776"
"Smarca4","1","1","20","18","0.146148084788514"
"Gtf3c1","1","0.611111111111111","20","16","0.0635736642374464"
"Prpf4","0.606912637828668","0.0305555555555556","24","6","0.137555949689887"
"Bop1","1","1","24","22","0.0941422744008773"
"Prp4k","1","0.611111111111111","24","20","0.0548969914927939"
"Cpsf2","1","1","20","16","0.167385618637893"
"Ubtf","1","1","24","6","0.124584311941762"
"Utp18","1","0.611111111111111","20","16","0.274651151369561"
"Zc3h14","1","1","24","18","0.118356684621139"
"Dnttip2","1","1","20","18","0.140304611462603"
"Nup54","1","0.611111111111111","24","8","0.0631600794055357"
"Zhx3","1","1","20","18","0.37212881992531"
"Thoc1","1","1","24","18","0.107722681968121"
"Hnrnpl","1","1","20","0","0.289340430044108"
"Rreb1","1","1","20","0","0.327196922553302"
"Ncl","0.839847417840376","0.183333333333333","24","20","0.278047866805885"
"Cyp2a12","1","1","24","6","0.260128367089968"
"Zc3h11a","1","1","20","16","0.218500251309885"
"Acsl1","1","0.611111111111111","20","6","0.189699505497158"
"Znf318","0.606912637828668","0.0305555555555556","20","16","0.166469560312908"
"Ddx3x","0.839847417840376","0.183333333333333","20","16","0.276211729978019"
"Paxbp1","1","1","20","10","0.0799876764719055"
"Rrp1b","1","1","20","10","0.0677895895014535"
"Adnp","0.839847417840376","0.183333333333333","24","6","0.230119527886258"
"Tasor2","1","0.611111111111111","24","10","0.385782864308761"
"Znf592","1","1","20","18","0.197483627238656"
"Pom121","1","1","20","10","0.094155403886532"
"Rbm14","1","1","24","18","0.0984011611883106"
"Eif4a3","1","1","20","0","0.055768211215227"
"Rprd2","1","0.611111111111111","24","0","0.142236203885565"
"Ints3","0.839847417840376","0.183333333333333","20","14","0.104925996445679"
"Pwp2","1","1","20","18","0.273152800044516"
"Ddx10","1","1","20","18","0.233558149485411"
"Snw1","1","1","20","14","0.0868817997971551"
"Cdc40","1","1","20","8","0.0360703958216195"
"Hcfc1","1","1","24","6","0.0781502890687332"
"Eef1a1","1","1","20","0","0.463173163259003"
"Sf3a3","1","1","20","16","0.0909937601809185"
"Ddx54","1","1","24","18","0.109626136939888"
"Kpnb1","1","1","20","10","0.136075728962188"
"Tln2","1","1","20","10","0.851725390258699"
"Cpsf3","1","0.611111111111111","24","0","0.127727952385203"
"Ints4","1","0.611111111111111","20","16","0.248689394785577"
"Rbmx","1","1","20","0","0.259074347775991"
"Ephx1","1","1","20","10","0.167438353311577"
"Ncoa5","0.839847417840376","0.183333333333333","24","14","0.182742682775262"
"Ddx24","0.839847417840376","0.183333333333333","20","18","0.304878949386296"
"Mta2","1","1","20","16","0.0730222538314666"
"Ylpm1","1","1","24","18","0.1762207708576"
"Ckap5","1","1","20","16","0.138312527147047"
"Dkc1","1","1","20","16","0.0586753021401297"
"Hnrnpa1","1","1","20","2","0.5357949951939"
"Gnl2","0.839847417840376","0.183333333333333","24","18","0.351496652770594"
"Hira","1","1","20","18","0.270337308296806"
"Cdk13","0.839847417840376","0.183333333333333","20","8","0.235385358738222"
"Por","1","1","20","12","0.0805835448759436"
"Usp36","1","1","24","22","0.163825949178033"
"Esf1","1","1","20","18","0.354866999027981"
"Actb","1","1","20","4","0.116483032907177"
"Pcf11","1","1","20","8","0.152398109606759"
"Zhx2","0.839847417840376","0.183333333333333","20","0","0.356065011783068"
"Sun1","1","1","20","6","0.136997132216448"
"Wapl","1","0.611111111111111","20","0","0.197122880089786"
"Nsd1","1","0.611111111111111","24","4","0.284595048369137"
"Wdr43","1","1","20","18","0.115599919829689"
"Hnrnpk","1","1","20","2","0.182631128832457"
"Atp13a1","0.839847417840376","0.183333333333333","20","14","0.167954848064848"
"Tmpo_1","1","1","20","10","0.14411487966249"
"Vcl","1","0.611111111111111","20","4","0.293615319423484"
"Sin3a","1","1","20","2","0.153342561218429"
"Syncrip","1","1","20","0","0.457494577533871"
"Des","1","1","24","10","0.130603255324306"
"Wdr46","1","1","20","18","0.293807997100073"
"Chd7","0.839847417840376","0.183333333333333","20","18","0.748324583165651"
"Cyp2c50","1","0.611111111111111","24","8","0.107996697597981"
"Cyp2f2","1","1","24","6","0.194189331194569"
"Pcbp1","1","1","20","16","0.145392589811351"
"Hsp90b1","1","1","20","0","0.334696038738891"
"Mfap1b","0.606912637828668","0.0305555555555556","24","16","0.112436873713357"
"Hsd17b4","1","1","20","18","0.169582237624751"
"Snd1","0.839847417840376","0.183333333333333","24","4","0.227871818510967"
"Nup50","1","1","20","10","0.203612285504191"
"Ddx3y","1","1","20","0","0.197615189615173"
"Glyr1","1","1","24","6","0.177001740628578"
"Myo1b","1","1","20","8","0.359290346596592"
"Rif1","1","0.611111111111111","20","4","0.189013025339804"
"Rbm28","1","1","20","10","0.0308217412564674"
"Smpd4","1","1","24","6","0.105709397865915"
"Gnl3","0.839847417840376","0.183333333333333","24","18","0.287784599960419"
"Kmt2d","1","1","20","16","0.204475390474025"
"Rbm19","0.839847417840376","0.183333333333333","20","16","0.239403546160024"
"Ktn1","0.839847417840376","0.183333333333333","20","8","0.323212697996818"
"Egfr","1","0.611111111111111","24","12","0.290631657411306"
"Ddx51","1","1","20","12","0.179475613447644"
"Fmo5","1","1","20","4","0.0645526527824691"
"Xrn2","1","1","20","10","0.0836763240175536"
"Seh1l","1","1","20","6","0.195218380549277"
"Nop2","1","1","24","22","0.117668367983271"
"Hspa5","1","1","20","4","0.108644275336942"
"Ppp1r10","1","0.611111111111111","20","2","0.175334156021934"
"Ehmt1","0.606912637828668","0.0305555555555556","20","18","0.204196960651856"
"Cltc","1","1","20","2","0.259220106623194"
"Gatad2a","1","1","24","6","0.127724473198714"
"IntS13","1","1","20","16","0.216736950207975"
"Hdac1","1","1","20","0","0.198198225049905"
"Actn4","1","1","20","4","0.220154178896045"
"Utp6","1","0.611111111111111","20","18","0.281312372444541"
"Arid5b","1","1","20","16","0.41425923473665"
"Ruvbl2","1","1","20","16","0.143383916258544"
"Cyp2c54","0.839847417840376","0.183333333333333","24","6","0.353896044608553"
"Acaa2","1","1","20","12","0.147152856202151"
"Vcp","1","0.611111111111111","24","2","0.106749103818503"
"Myh14","1","0.611111111111111","24","6","0.39151056896596"
"Pes1","1","1","24","18","0.0619208956951279"
"Znf106","1","0.611111111111111","20","4","0.0386548589134857"
"Ftsj3","1","1","20","18","0.168975843848248"
"Htatsf1","1","0.611111111111111","20","2","0.344333958523416"
"Las1l","0.839847417840376","0.183333333333333","20","16","0.324517414214371"
"Abcb11","1","1","20","4","0.129112223394552"
"Aqr","1","1","20","16","0.237445047506192"
"Mia2","1","1","24","22","0.166572356578682"
"Dhx8","1","1","20","14","0.186474649180332"
"Ppwd1","1","1","20","16","0.205704300318605"
"Hdac2","1","1","20","0","0.357534645803082"
"Cmas","1","1","20","16","0.238358759511768"
"Hadha","1","1","20","8","0.235346125707797"
"Slmap","1","1","20","10","0.117643004141207"
"Kdm5a","1","1","20","18","0.097962309539901"
"Nkrf","1","1","20","16","0.231074493724454"
"Cwc22","1","1","20","16","0.101135427323824"
"Alb","0.839847417840376","0.183333333333333","20","4","0.267177929134551"
"Cyp1a2","1","1","20","4","0.266268525250507"
"Mga","1","0.611111111111111","20","0","0.483394667699204"
"Wbp11","1","1","24","18","0.0873455219452294"
"Zfr","1","1","20","2","0.253071011622289"
"Rrp9","1","0.611111111111111","20","18","0.171097231307929"
"Sacm1l","1","1","20","10","0.11457431831764"
