"CycID","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","meta2d_Base","meta2d_AMP","meta2d_rAMP"
"Syne2","1","1","20","10","0.0854092018079614","6.47595475157028","0.00486759298506256","0.000751640981413942"
"Tpr","1","1","24","6","0.0646595924844737","9.22060125162348","0.0143425059046961","0.00155548488794814"
"Ranbp2","1","1","24","6","0.0278358871720149","9.08343135956658","0.0104892526077369","0.00115476764149153"
"Plec","1","1","24","18","0.09089394864864","6.18325282414375","0.0673939276755096","0.0108994294091221"
"Syne1","0.611111111111111","1","20","12","0.277353603736308","5.50315060890868","0.334523359857761","0.0607876076144861"
"Prpf8","1","1","20","14","0.0831471148529095","9.60457332157852","0.103363285520252","0.0107618820804904"
"Numa1","1","1","20","0","0.149870185724696","7.14687563070202","0.118472779749158","0.0165768632156148"
"Snrnp200","1","1","24","18","0.121993889165507","9.59605326854969","0.0617232567597985","0.00643215028433529"
"Myh9","1","1","20","10","0.0564561362310262","7.13954980879549","0.0690939624551083","0.00967763574812361"
"Lmna","1","1","20","10","0.0726917915504173","12.334577859866","0.0378121310549987","0.00306553912785545"
"Sptan1","1","1","20","8","0.239410331245718","5.32274055692175","0.119805759275916","0.0225082845941307"
"Son","0.183333333333333","0.839847417840376","24","16","0.118306826359527","8.72996458729532","0.118223240314585","0.0135422359543857"
"Lmnb1","1","1","20","10","0.143121233173553","10.6353516080749","0.12840004725659","0.0120729480310836"
"Ahctf1","1","1","20","10","0.0477403544147022","7.09245659818279","0.0631358305896531","0.00890182826156873"
"Nup98","1","1","24","12","0.0920775322537851","8.11521970950712","0.0888340554860848","0.0109465989419873"
"Sf3b2","1","1","24","18","0.154527148908735","8.20051452194325","0.050413293848209","0.00614757692499797"
"Sf3b1","1","1","20","14","0.170509152256421","8.2162873938336","0.0855070816919165","0.0104070217597416"
"Pdcd11","1","1","20","10","0.0905099318076766","7.90473529271136","0.0484352032858352","0.00612736562228661"
"Rrbp1","1","1","24","0","0.150940511450954","5.82786243769522","0.240586164896192","0.0412820596690917"
"Hnrnpm","0.611111111111111","1","20","16","0.246756315014922","10.0847795822715","0.247282316135531","0.0245203491180154"
"Polr2a","0.183333333333333","0.839847417840376","20","18","0.0810008501301862","7.06150030755007","0.116106630781989","0.0164422043086013"
"Lmnb2","1","1","20","10","0.168270969877192","11.0490313871046","0.130794345739093","0.0118376300289765"
"Utp20","1","1","24","6","0.0383919417735976","6.95416605351818","0.00186937705774091","0.000268813980476519"
"Mybbp1a","0.183333333333333","0.839847417840376","24","18","0.124341572353199","8.55203622606775","0.190574203929444","0.0222840735108848"
"Dhx9","0.611111111111111","1","20","16","0.208603553928067","10.2233615147802","0.129381430521909","0.0126554685887669"
"Smc1a","1","1","24","6","0.125021608091398","6.40709553510886","0.0568910393150418","0.00887938052480986"
"Sfpq","1","1","20","10","0.19330484586166","10.35686064829","0.0872973617369612","0.0084289404580697"
"Supt6h","1","1","24","10","0.0557116862289103","6.28597559881052","0.0223235238509838","0.00355132206609393"
"Acin1","1","1","20","16","0.114007741970604","7.86273855704149","0.10465693112131","0.0133104935846537"
"Krt8","1","1","20","6","0.18609650295998","9.04815988718684","0.257992710299316","0.0285132793314872"
"Chd4","1","1","24","6","0.265961554630382","5.04137266757555","0.0910936463679387","0.0180692149489013"
"Znf638","1","1","20","10","0.0632809865814316","6.66784122970251","0.00262376178495684","0.00039349494005182"
