,CT0,CT4,CT8,CT12,CT16,CT20
Syne2,6.50765794953664,6.39087541516042,6.55081083270299,6.47432007351116,6.35172684916613,6.58520498232937
Tpr,9.23228421303864,9.25283414199947,9.3019234671551,9.09524815203691,9.30047579510119,9.14084174040958
Ranbp2,9.1307752791136,9.02953409242275,9.15772028770049,9.04992353793388,9.01428056168762,9.11835439854114
Plec,5.98847430751285,6.21535086008495,6.09488497854077,6.22342843345732,6.10360570958844,6.47377265567816
Syne1,5.30358475270366,5.2305826719764,6.01040882616271,5.62281989995334,5.44972376791652,5.13114865159908
Prpf8,9.53282479855216,9.54277293637776,9.50909464817909,9.78924751774388,9.62668242567627,9.59487659112179
Numa1,7.28911406349001,7.27380589831383,6.91250214854002,7.16783167369021,7.15004092876509,7.20643185116213
Snrnp200,9.55361577948066,9.50410608681504,9.48207744636868,9.72614119206516,9.61511611866996,9.69526298789863
Myh9,7.10969979953608,7.03962641626809,7.35006254858627,7.09496722763048,7.05504671086193,7.11880218743496
Lmna,12.3917033229152,12.1031178195279,12.4208500320248,12.3952843605054,12.318048314541,12.3406511786266
Sptan1,5.19895562161814,5.53753295903807,5.40092466793922,5.23341102447573,4.87253412187244,5.59616005130869
Son,8.63468304841233,8.51142700739755,8.78273685668161,8.86006214683649,8.80199416677129,8.78888429767261
Lmnb1,10.6122412049858,10.5098265016193,10.905370726276,10.6382064259094,10.511039210477,10.5070255319255
Ahctf1,7.04616672678565,6.98873212819003,7.28298786067111,7.0562471848758,7.02058880279341,7.09688105519108
Nup98,8.13144650228671,8.02019390053082,8.34066151300915,8.05963956724923,8.15041119543397,7.9889655785328
Sf3b2,8.11997008427535,8.11393556908225,8.02411507352635,8.44500771779887,8.18130977377164,8.31874891320501
Sf3b1,8.19011284327221,8.19370242841913,7.95185288118554,8.45328039676303,8.19298923681531,8.28936343516417
Pdcd11,7.94136458392945,7.54764142488745,8.03938480165557,7.97087956489095,7.91138442856369,7.96932174905519
Rrbp1,6.34855657684856,5.82240807900855,5.65517293107162,5.68552679327541,5.60894596060308,5.84656428536407
Hnrnpm,10.0382726322884,9.99112921487909,9.7073152421811,10.2906865989238,10.3400953421744,10.2175929012767
Polr2a,7.17509551296858,7.06054301215072,6.89489579231239,7.09255749641892,7.12998323302865,7.10985903588338
Lmnb2,11.0429640719732,10.8313142562976,11.2809351597272,11.1100077446003,10.9731967710525,10.9249759732375
Utp20,7.04845324926254,6.86452201608798,7.04121887611513,6.99415884452048,6.86752279075173,6.90912054437123
Mybbp1a,8.618247004904,8.30656452521483,8.4606491104451,8.60308932495103,8.68717274245776,8.63649464843379
Dhx9,10.1418473338576,10.0014156554529,10.1081801171783,10.4031900923026,10.3664646737432,10.3590522769341
Smc1a,6.52754296331913,6.47128656210826,6.4844522952647,6.50943600263964,6.30764504151215,6.14221034580926
Sfpq,10.2128767440244,10.1565716016987,10.4553119291062,10.503835332722,10.230460998032,10.4948099224195
Supt6h,6.32009819638965,6.31347655281475,6.19427233116519,6.43122350724447,6.22871631825678,6.22806668699225
Acin1,7.92458610104391,7.78629168854159,7.71609279259579,7.94752298345195,7.87777728195623,7.95650126495509
Krt8,8.65892760687641,9.03965756565831,9.27645292358251,8.92210780527262,9.0603829058575,9.25170638396636
Chd4,5.43642291474924,5.20398172256217,5.06784207275496,4.9205360191904,4.92773764106971,4.69171563512684
Znf638,6.59830805209063,6.64071114227541,6.68631104631237,6.68780088155444,6.58486880321068,6.81167121455647
Nup155,8.53997230144258,8.35332578446555,8.80140056773737,8.58086227913375,8.48880958017429,8.40461335668302
Sptbn1,4.45794867212565,4.80519126155318,4.57173802119732,4.56735229746046,4.38430391732658,4.70086235306535
Urb1,6.90483020981043,6.39367782635871,6.86952904701778,6.73042070434002,6.91795933328486,6.72295171238647
Trrap,5.31755893688134,4.96504715752805,5.03222613582758,5.38520321123258,5.45490589539207,5.19765902631119
Myh1,-0.04408222457259,-7.46611819884373,-5.9364322324848,-9.11109366192598,-3.03868720563539,-6.23244220266087
Nup93,8.91211726217841,8.83972734023346,9.00547252142938,8.97973207730052,8.90429112276239,8.81636686292226
Atrx,3.86775030921907,3.97594035646396,3.84234773319848,3.43322149232722,3.32851129852591,3.77182205240535
Prpf6,8.07370350888737,8.10203504310316,8.14290598202649,8.16872195596227,8.21891188071303,8.19224914391472
Spen,4.08211971904735,4.07851352321055,3.94824365568856,3.96729021799539,4.12615461908357,4.17012367987242
Nup210,8.95926685554357,8.72536130134833,9.35356833452518,8.84157476577093,8.81391505553596,8.7699214164018
Thrap3,7.73229562626067,8.02362850548926,8.17167180256591,8.32505708499743,7.89296541213855,8.21883992781189
Srrm2,5.85170066218663,5.97148289513225,5.8611315604058,6.09584722478871,5.9308334221726,6.01446116189772
Myh4,-4.1900589634902,-8.59748046082223,-8.1000374688424,-6.82378915697129,-3.94582621797652,-6.91867372996769
Nup107,7.8456222466652,7.71140410648249,8.12284418453896,7.83435457931362,7.81353909975691,7.7744687511954
Ddx21,8.39639810723553,8.0801082182329,8.24947689269851,8.31984982050928,8.50559403639278,8.33878167565783
Nup214,6.30219752372217,6.20629109154686,6.38812166759639,6.35439221477328,6.43183975977603,6.26628573539045
Smchd1,4.90134060803046,4.71831469835416,4.73568560546759,4.9501315209051,4.90829978918456,4.49472215887181
Lrp1,3.83947922161489,3.44363087373326,3.25145828013495,3.01138548172431,2.96316532448674,3.15143873122946
Sf3b3,8.30595651735609,8.29504551564701,8.11890809862931,8.40692288091381,8.14796644454545,8.2174209510342
Dsp,3.28934110571189,3.36069439651691,3.9697905946886,3.33807647521164,2.03414825569803,2.9213322444339
Dido1,4.10641824432062,4.45430443601144,4.14056459537658,4.10865260416145,3.53427502214923,4.41364371785702
Nipbl,5.02960399013369,4.86020574801163,4.8017542035821,4.90026400917507,4.84234516343265,4.5744604337707
Sltm,6.54701371267203,6.6347333227824,6.54283312715447,6.67549010919358,6.68564072986375,6.57658334794725
Mad1l1,6.35759147998262,6.21211461221771,6.25746273590535,6.37926695186788,6.5451885132287,6.37485261601094
Tasor,4.94957522384284,4.98296811412923,5.01219484895396,5.22688323410416,5.05855451625575,5.28991644804927
Smc3,6.2090165397776,5.99292287907017,6.15419198058827,6.28837573536075,5.88817945107586,5.74122205415518
Mia3,4.21488575125144,3.9871970908235,4.59297027521124,4.36004401557548,4.22340242667887,4.32365131417197
Top2b,6.61851342618713,6.64997717255469,6.51127625804374,6.57117077043257,6.55383338411982,6.39584538128756
Cdc5l,6.75729718109485,6.95827827484236,6.9394129483477,7.0968838410344,6.72356650215601,7.03809689329107
Itpr2,3.37458278942074,3.06069937910808,3.48072409506564,3.24855248247093,3.26003126133859,3.11196981400017
Smarca5,6.91250175850175,6.67506722386993,6.39062899051975,6.72319537762667,6.94574849935506,6.43797157272091
Sf3a1,7.6837690102375,7.67368566076155,7.57231335883251,7.76967849603712,7.67100446716269,7.61258941899111
Matr3,8.40631525880169,8.4349292756546,7.55300486666204,8.24740164817714,8.22878765446529,8.13427133222111
Eppk1,3.80755686163803,4.08339435545278,4.28239604149492,3.95377575226789,4.22055675564091,4.61023056258684
Ddx5,9.25577636715831,9.23074417374472,9.23839705772304,9.40267755545045,9.18740444265456,9.33323420856905
Myh10,1.77719450325893,1.5902705707234,1.84012678019996,1.55889179518141,1.2581765580065,1.91667504258965
Setd2,4.26413939416919,4.28300256565763,4.1009568864358,4.51569033845229,4.44310566060383,4.61925233804034
Safb2,6.26514805874552,6.14273582533868,5.92232643185339,6.28811193516005,6.53106351697987,6.36798045167906
Tor1aip1,8.98328733178616,8.8188533891097,9.41987399099071,9.08775563571096,8.90488211456271,8.87985055246701
Myh2,-6.45689356272456,-7.41007470489701,-7.81948401133978,-7.75281693194376,-3.74734494120159,-7.3009913543964
Cebpz,6.53081156473469,6.18150868811814,6.46737450226313,6.36286492457311,6.372613221132,6.20458105735435
Polr2b,6.1655983580438,6.10217809022296,5.87089593334503,6.0802538949231,6.07509320388337,6.12806986048494
Pnn,8.14193297794903,8.12030270343106,8.09838035417144,8.36397053287022,8.3919943573455,8.34144093790338
Nono,9.33987538630301,9.28414975134243,9.52008441309139,9.65947119986274,9.31112843769974,9.53724216626957
Ccar1,5.90576434137477,6.08020177673734,5.07101080124336,5.58620713940877,5.35561212887386,5.62188299230769
Nup133,7.46499311999078,7.42614534030073,7.72847901421325,7.56074792878805,7.55376482099722,7.48011581992542
Sart1,6.86810108909087,6.78966706764942,6.5972449902683,6.93007030015235,6.67716864052111,6.65137824374653
Flna,2.26504193758404,1.630845788796,1.24614146203159,1.00124167790941,1.49342102963734,1.03884284050836
Chd2,4.27498393126564,4.42505264067848,4.4661738443626,4.2159048256009,4.17055764537518,4.22495652774434
Nup188,6.90817251430849,6.77785236738687,7.14572142958126,6.90411450910968,6.99595929035359,6.91271372555346
Mcm3ap,6.12357917655371,6.02490954062295,6.45695435751988,6.12670851815635,6.15835211858706,6.07256984958074
Sympk,6.02087449814734,5.87618447567615,5.57984013031648,6.00923745247043,6.02835133774469,6.05835830307101
Sun2,6.76374609246868,6.53064415131209,7.21726194528314,6.87931530672385,6.90941284354796,6.45541086929888
Thoc2,5.95816972750542,6.05780562142951,5.52200528448815,6.0615407109467,6.00714276593377,6.08535125189673
Nol8,5.88635468950727,5.61712252823754,5.99439577370407,5.74431084155734,5.6252215495817,5.86792772145334
U2surp,6.26956647549779,6.32133922276618,6.12663016931153,6.63547420649526,6.2495027223968,6.48332505817126
Baz1b,5.68864843850913,5.57056383983356,5.30881910039365,5.32196657578599,5.46655373081652,4.99144238035387
Trip12,4.95735102656785,4.97849660605246,4.75677246637833,4.56153266796386,4.87213663013537,4.68896111255669
Krt18,8.46468375260707,8.93852671130283,9.1715408261934,8.88671042644346,8.96264927536356,9.1618815926158
Dync1h1,3.05624542463862,2.73449056222721,2.77039637441648,2.34512186319167,2.91245827168254,2.79810975804721
Safb,6.41478147510205,6.15063542187804,5.82958240222675,6.44316687506022,6.66628872107521,6.19455703551895
Fbn1,0.0748750685279115,0.0865782035716753,-1.34869741002558,-2.81971278064743,-2.15299055633965,-2.83302845309043
Nxf1,7.79677438314174,7.55214130262331,8.09478152918758,7.77389633170825,7.73931162193206,7.87346704918188
Rbm10,6.76974242702601,6.84785530992731,6.680402355793,6.91813426024762,6.62139540848964,6.95503509393115
Rbm25,7.61889706860376,7.49639445328262,7.54094055370138,7.77960657650113,7.67868249521482,7.89670996592462
Smarcc2,4.91575752580405,4.74740406613294,4.44634147850614,4.7054149966787,4.70375222726523,4.31758719339
Lemd3,6.32897213524385,6.02870082723232,6.60652371465794,6.42098566673806,6.34857930557859,6.15825254818313
Pbrm1,4.88835555144186,4.54112346030739,4.31383256443009,4.43295864628594,4.93114754395988,4.2977535012453
Nop56,9.98886162869274,9.56073224731315,9.7201060721191,9.9234432656692,9.96302159449891,9.85456709731384
Ddx18,6.86114236702664,6.46839737494338,6.94823026500288,6.66526740273086,6.86176770607254,6.7609169705689
Myh11,-0.118116972330959,-3.12347747402819,-2.05711385326244,-0.95359542499139,-7.17097235588515,-2.6918242873903
Canx,8.08373688440098,7.89886119588271,8.28428149693595,8.05971687898253,8.29899351722917,8.17810340714142
Nop14,6.37006507308667,6.28538151853975,6.5444039687115,6.22218408592938,6.30716443877435,6.46432022848547
Ddx17,7.41024360242857,7.36400340430345,7.39458038005659,7.52364194628714,7.17096945689054,7.42432482001539
Cpsf1,6.32528465813109,6.30465943425661,5.93351913263064,6.32000462798109,6.20819443676654,6.43161125455528
Cps1,5.53945991952217,5.83570058454156,5.5884358299153,5.40045680929095,5.24019189656657,5.8512827810592
Eftud2,8.14861938517261,8.244948331464,8.16777825802367,8.26559040178347,8.2151485954771,8.15116046708272
Srrt,7.01351895321281,7.09648796965615,6.72127921342769,7.244436823839,7.06279551886672,7.32451120150947
Tcerg1,6.34153971774117,6.22394690846461,6.19213841242074,6.5269012653644,6.25161724799308,6.25044168722918
Pds5b,5.24940817642799,5.21239972214089,5.45269580429125,5.39626038842031,5.09721158535957,5.02288494523869
Rrp12,6.25799558279733,6.04805896386889,6.27797689684404,6.04202301320275,6.19120975705541,6.43953512421404
Itpr1,2.69509245157908,2.96874853369283,3.09306254282561,2.94890948610209,2.78558011062353,2.89365983015884
Ints1,5.57128184094481,5.34963911430182,5.35500847023841,5.48681949838276,5.56691704769426,5.4547700666187
Itpr3,2.58040315563354,2.64881159043214,3.05439720746579,2.6462379519788,2.43583606745109,2.7054815748809
Tln1,2.84862583785877,2.89034053445415,2.61910055819783,2.52006083761766,2.41199083958363,2.74408011835038
Rbbp6,4.262322900132,4.359137374801,4.20210746991681,4.28156750420118,3.95529254594941,4.46794038829836
Hnrnpa2b1,9.70098414105509,9.72644048520272,9.09559691832233,9.65516238020696,9.55677898873064,9.48546509892231
Zbtb20,6.91357328704622,6.53087587243686,6.28970551409688,6.74936452855181,7.22908000088721,6.66526201379164
Nat10,7.84505423926358,7.34332043422345,7.79681363113946,7.94284836052231,7.79688269059598,7.8324996725861
Fn1,3.70013038509655,3.05027656549515,3.25146050745322,3.11704281644085,3.39284900319903,3.1769018562768
Flnb,2.71129144606355,2.83046353883714,2.17875540107762,2.48176191148736,2.14390997590664,2.71206896202312
Rpn1,6.32862811693168,6.50889710910385,6.77619092474527,6.46000213661259,6.30986707040829,6.27941473799982
Hspa8,7.79449907278208,7.46782132883648,7.20790775008846,7.35801939585561,7.80382691996186,7.45199915440949
Hnrnpa3,8.75709581754083,8.75458952113094,8.10501096927603,8.78285314160322,8.59435013572339,8.61028621331926
Dhx15,7.12349352019342,7.12437534282825,7.13193709818113,7.36386834071901,7.16009671658247,7.25831849218185
Ddx27,7.22361973775402,6.66974147856885,7.18576798033822,6.9575892667034,7.16746950784872,7.0065866874012
Vim,5.92296175811283,5.91978749207545,5.91367190078617,5.90532552164652,5.97405941179654,5.87524422408552
Ttn,1.12018482863205,2.37430955848098,5.22782904622908,5.18524556821529,5.19017390175293,4.94186917022338
Ep400,4.2862970226826,3.8790721457073,3.9187877585002,4.2397965436457,4.25716377464995,3.8241344222623
Wdr33,5.37961981444499,5.31450733729758,5.08408588544749,5.59067655679383,5.39289098612698,5.61830136967276
Atp1a1,5.17082084089904,5.78466749870839,5.70215193330062,5.56976791295759,5.04451203261887,5.46299318418742
Hspg2,2.77080716646892,1.98249648558898,2.47313927236011,2.01346781394966,1.5236411251673,2.05153257484365
Pds5a,4.14373438978981,4.04713678350644,4.23106460472318,4.23456215782002,3.95615271512162,3.93726549487046
Hnrnpul2,6.83553316359526,6.87050634844227,6.01632577527208,6.50908792124251,6.71407774887902,6.41677899866072
Nop58,8.74315117036492,8.28727654217044,8.39573094356,8.66330026626779,8.44883477516013,8.3598323749889
Chd1,3.07529387049952,2.77089617365784,2.52688116910561,2.67385545414704,2.90739758255604,2.65922636898745
Ilf3,5.0396619300914,5.14675944852634,4.71709240058927,4.80272950299343,4.88998115410304,4.73029649238653
Top1,6.80314684075427,6.73612816054681,6.68620655674673,6.60854850822678,6.56154515534363,6.34246255438415
Wdr3,6.6429714153299,6.06541843854458,6.35885667507681,6.45479217109723,6.65986430453785,6.61145036872141
Atp2a2,5.72051313210451,5.6095710485707,5.82586569469327,5.57520374176774,5.63802218233233,5.64318779895683
Ik,6.48062396332235,6.58673547916705,6.53935281048495,6.54027927392811,6.5111260422106,6.59113828123838
Supt5h,5.51315356410418,5.48896870977285,5.24481577772118,5.60366202122416,5.49306981348374,5.39407154778236
Gtpbp4,7.17261778196955,6.82370137854124,7.313513366088,7.21794706614283,7.24237935064917,7.31475707927598
Hnrnpu,9.01204432985915,8.95697006505255,8.2270474996368,9.09432505381484,8.88367886891622,8.82831483541102
Prpf40a,7.40291961497246,7.19860274972448,7.40139550095122,7.73190053497586,7.54167001687895,7.51005301901894
Ddx46,5.50369542766128,5.60310581055122,5.07358307378374,5.83826468360851,5.28615374269469,5.8310312311432
Tfip11,5.86410576800331,5.89623753065661,5.76195916033627,5.9619773362929,5.99367449285979,5.94820424892977
Wdr75,6.40163556166255,5.79069217295593,6.0715522856499,6.13715482117476,6.44613254783399,6.28762230552515
Xab2,5.50119779917909,5.59575822052208,5.34710020196077,5.87314465535138,5.80758560309072,5.77006787168911
Rbm15,5.6108751646852,5.73054688883353,5.68973505456658,5.84014324298617,5.63691626047858,5.88612964643975
Ctr9,4.71649073134238,4.61408942101907,4.15349838716915,4.46235176090494,4.48888112750735,4.38365811355571
Tmpo,4.8173883987516,4.21392650082938,4.4725874225832,4.63427073708165,4.56784603815226,4.81433447332831
Zc3h18,5.41441520362374,5.58728088852,5.12447147605472,5.44692578154282,5.40332043677789,5.49881138648265
Brd4,4.06293429569448,4.11649426345626,4.02164710868595,3.93144744611678,3.76261755434263,3.80013859922004
Exosc10,5.26702223368076,5.18719707779647,5.28982308447713,5.15239298675404,5.01923271232897,5.33214102953479
Mtrex,6.1028027015058,6.01929601819552,6.10473857078127,5.89594159416749,5.85358699142723,6.05234418119018
Thoc5,5.77566919884778,5.85404533046411,5.340957758387,5.91786332212218,6.02959311174737,6.00925259889604
Ncor2,2.62910071564636,1.43156583869214,0.656061786887548,1.51126238574966,3.24150274774089,1.89245879239015
Nup160,7.64091011378281,7.44579049941884,7.75838512341762,7.68223277385636,7.67164786276934,7.65290608772416
Ints6,4.43058911628779,4.33739660208979,4.31118295549798,4.5926730100324,4.61332870662626,4.39577709918695
Ncor1,3.11920298659007,1.9727569173508,0.999623301054854,2.08259716142898,3.31689827686988,1.95876889687081
Polr1a,4.20647317402041,3.64454240021857,3.72886308722487,4.52046576186875,4.29405321603959,4.1726835429451
