"CT0_1"	"CT0_3"	"CT0_4"	"CT4_1"	"CT4_3"	"CT4_4"	"CT8_1"	"CT8_2"	"CT8_3"	"CT12_1"	"CT12_2"	"CT12_4"	"CT16_1"	"CT16_2"	"CT16_4"	"Perko_1"	"Perko_2"	"Perko_3"
"Syne2"	6.16171037571218	6.73460184010025	6.62666163279749	6.96029879447232	6.4176763745905	6.51010699302585	5.61676193174433	6.67718502127049	6.42443664413549	6.14205975374269	6.3634148344067	6.73704953562853	6.8908394099638	6.25445132667984	6.77694327134345	6.49194695657799	6.39322024116761	6.28210671739918
"Tpr"	9.31746610455839	9.70325999339493	8.6761265411626	9.45186997366751	9.55188755000879	9.12942657132316	9.23787840939401	9.13717041477969	9.4666765195305	9.12667843693354	9.06061722918998	9.03248496134612	9.41634018146618	9.172193634319	9.25910281241723	9.08334108336642	8.95056288823296	9.5173968953706
"Ranbp2"	8.88516764066999	9.44174601763564	9.06541217903518	9.10291774993544	9.29022652063379	9.31827277378518	8.64810013291832	9.1110855076188	9.20435506778217	8.92502371871696	9.10670943243358	9.17161667012559	9.247318081169	8.96815372793336	9.14597133507488	8.74496737239092	8.7042618240386	8.54009337524952
"Plec"	5.65318081580208	5.78849140783007	6.5237506989064	6.56277526564692	6.48525087099179	6.31716033893071	5.06063878948367	5.7821095192843	6.40766043779724	5.85650507528431	6.10831764836488	6.66406970665733	6.25401635329147	6.25507967385817	6.42047415252444	7.46753813709185	6.99728864378248	5.34369786414486
"Syne1"	5.08308160651649	5.44728168942358	5.38039096217091	5.36278724390231	5.43408000186652	5.59931442950176	4.6330611930922	5.85164844445757	6.16916920786786	5.0650684458558	5.94688403687065	6.13007374680482	5.99240824081557	6.12306134541084	5.12422496142188	5.53784299749781	5.3942824487305	5.44603986138736
"Prpf8"	9.84953339910159	9.79344222047284	8.95549877608206	10.0492271510572	9.69450574231105	9.31107003293345	10.0254110175143	9.28474006222294	9.73344923413525	10.0515999529396	10.1032445000324	9.37118497034118	9.65338091597166	9.8007956885534	9.36604467066016	9.29152773277536	9.45610784041203	9.08458164998501
"Numa1"	8.00479968065252	7.06239127106119	6.80015123875631	7.07060923081754	6.95099225507369	7.58012507168521	7.82771201507093	7.19780810518142	6.62719619189862	6.98906094098416	7.33422641913231	7.50232187740859	7.40186844064586	6.96197222303025	7.21866782479061	6.77061101815482	6.97363107086806	6.36480323258215
"Snrnp200"	10.0128781572802	9.7622159704799	8.88575321068186	10.0314720395666	9.67739851040061	9.14072265643091	10.1298360409563	9.30639304320931	9.65776184952804	9.90096396711799	10.073224158882	9.32439178395094	9.52228033715949	9.88606069703151	9.26627618083282	9.37465081082908	9.56968106493755	8.62382430533492
"Myh9"	6.49831476284658	7.11772544458381	7.71305919117785	7.07623106155266	7.42603961903456	7.05583289390565	6.26007932891016	7.27453223790302	7.42559285926953	6.78722191238687	7.17879356925402	7.06795062100027	6.92420859811945	7.11691585027777	7.0253332446865	7.29217822056783	6.96789419594151	7.09694950181744
"Lmna"	12.1880339493197	12.5834896902053	12.4035863292207	12.273804966585	12.3868453934782	12.0793587979155	11.4778884680331	12.5084998512231	12.3332002128265	12.3817809554707	12.5188355376797	12.1086587482982	12.2864947079435	12.16403863164	12.3109352470552	12.3244257304922	12.1634656282182	10.713567865709
"Sptan1"	5.0064150775101	4.67177684622995	5.91867494111436	6.05012530943718	5.57983280709479	5.56115081549467	4.47608185505594	5.27181455088939	5.53003478498906	4.78152239130268	5.06098767356361	5.81671531646881	5.41474119181651	4.96242992776743	5.39418613922764	6.45357159659888	6.16346829857516	5.59851792938471
"Son"	8.50321444600693	8.94554954900687	8.45528515022319	8.73844544938271	8.90608374343365	8.47274958811956	8.03845341983803	8.75094607101998	8.81452764234324	8.6701585510441	9.10108508642288	8.72440014255957	8.93670968407895	8.7636682298818	8.84049180610542	8.16456418826121	8.42912286500805	7.94223755231998
"Lmnb1"	10.3533848162683	10.8717862620108	10.6115525366784	10.6639349087536	10.8416054024706	10.4650668106685	9.88140239831358	11.0738014686735	10.7369399838785	10.350748208622	10.7392903387386	10.607876351689	10.5108886115346	10.4910470151111	10.5595942249186	10.7532322605443	10.4368179448786	10.1983520432234
"Ahctf1"	6.86951457283697	7.32694051023645	6.94204509728354	7.18446602042221	7.25138890041327	7.17363931981261	6.554542514392	7.38236756996567	7.18360815137656	6.82741206957679	7.26604191215456	7.0556298892295	7.25954865183742	6.8571140866903	7.05147457872849	6.85949157118232	6.89754908350032	5.99583858815031
"Nup98"	7.74889401042604	8.47045145946901	8.17499403696507	8.24944294682762	8.23564007236596	8.16075052510779	7.84233633656596	8.34768262319928	8.33364040281902	7.8345358206378	8.22880875091332	8.14885516869165	8.2894155633497	8.13206004169059	8.28036651109412	7.92914349892114	7.8595150104929	7.28062618438837
"Sf3b2"	8.58767749741903	8.22276662707584	7.54946612833119	8.47483263531589	8.30534797991633	7.79973502513301	8.66146109290666	7.82629362266692	8.22193652438578	8.74202163499081	8.6525561929031	8.06370668648304	8.10767318435581	8.31652426437191	7.91778712392884	7.91934885335909	8.19957303393917	7.10717008435852
"Sf3b1"	8.59521863812583	8.35836284544069	7.6167570462501	8.60862626835447	8.19678038562664	7.90564772547941	8.7238406344048	7.73907466747896	8.16463109489211	8.7357619945631	8.69383621051013	8.09044338115668	8.14269283652111	8.22522474461609	8.07406914845183	8.01570563078546	8.22162293447245	7.7141881600077
"Pdcd11"	7.78931262126474	7.89210453110107	8.14267659942253	7.71239016802464	7.95404291692303	7.66917394745516	7.5657069458956	7.96420401841346	8.11456558489768	7.96465034920158	8.01761174662371	7.90056915513527	7.90343740648637	8.05256943117474	8.08636192474543	7.93072529537216	8.02186659395289	7.14392457829043
"Rrbp1"	7.06192325050516	6.02028434732141	5.96346213271911	5.60061593420892	5.30299971324316	5.40500470517796	6.06903234237484	5.93047471679044	5.3798711453528	6.42411283740763	5.4020567735264	5.67068191752358	5.30089265713023	5.89388450349892	5.82013427413282	5.70878233322678	5.95444667263981	6.65905850742015
"Hnrnpm"	10.0210281506877	10.2154183395195	9.878371406658	9.81731431489694	10.0918356703486	10.0418563652754	9.44402214706482	9.18231028896042	10.2323201954018	10.1590012770423	10.2533097666688	10.2962637326205	10.3910518432217	10.3025923744085	10.3532556898996	10.1595328713053	9.94893633735212	8.73440074476255
"Polr2a"	7.88263713416066	7.0702838773516	6.57236552739349	7.36448927069473	7.01218076930197	6.84112921729195	7.80849830574345	7.05192679872698	6.7378647858978	7.36295838290621	7.19034852910893	7.13445427451702	7.00944520526198	7.22619034695534	7.16145644465515	6.84973485725637	6.97032426420525	7.02038212021336
"Lmnb2"	10.8218431374786	11.3170961020883	10.9899529763528	10.9638821818358	11.1746454999706	10.896602659993	9.98178897226714	11.3121761685868	11.2496941508676	10.9202233224547	11.2023341918415	10.9876753964439	11.0290884684775	10.899802943229	10.9895714017013	11.2132418204527	11.0372501819961	9.33063206028383
"Utp20"	6.990468015578	7.03088437843974	7.1240073537699	7.13550636862762	7.05507108429043	7.00177005224267	7.22409802188342	6.96879129783573	7.11364645439452	7.04495672367451	7.08471681973293	7.03333738715294	6.86250770642146	7.0946020804497	7.0448741553325	7.01450169931287	7.03564299722597	6.54735368582732
"Mybbp1a"	8.70981383348473	8.31838255086424	8.82654463036303	8.17153789397278	8.54590758520466	8.46851518470975	8.45908976134027	8.20131611073653	8.71998211015367	8.59276489278446	8.6215567761843	8.46863930870736	8.62169275807758	8.86157595324211	8.67466322941551	8.67743976442938	8.60888600343043	7.72561607025041
"Dhx9"	10.0843290700068	10.4936521443029	9.84756078726323	10.1167575956291	10.2020178557872	10.2187703838055	10.2397151286652	9.84374689823255	10.372613336124	10.2055857727303	10.6485393188001	10.3564385360859	10.3033618855144	10.3999856026136	10.3914434261092	9.80298513763275	10.0704019928458	9.12099792294666
"Smc1a"	7.27023184674246	6.15054139720311	6.16185564601181	6.37655745240068	5.86085844526493	6.53977416573513	7.34487489649504	6.57520228504781	6.39370230548159	6.55610277720222	6.38551117009754	6.57020271428429	5.85910725681033	5.94477826212626	6.57669065423341	6.71197834553772	6.37727027822845	6.71136201857731
"Sfpq"	10.1508500078233	10.6797533017468	9.80802692250298	10.1616454281998	10.6673962563888	10.053295614956	9.89208404110479	10.3272643017807	10.5833595564316	10.5742169728966	10.755976533907	10.2296577184601	10.0256281814311	10.3951086049588	10.1859863576146	9.87282168041292	10.2702790789895	9.47457491377537
