BH.Q	ADJ.P	PER	LAG	AMP
Tle1	0.0184298123095392	1.18680485014519e-05	20	18	1.19326090144369
Gnl3	0.0184298123095392	1.18680485014519e-05	20	18	1.16710312316759
Plin5	0.0184298123095392	1.18680485014519e-05	20	18	1.11833213071954
Trmt1l	0.0184298123095392	2.18920901694011e-05	20	18	1.51426065460868
Nab2	0.0184298123095392	2.18920901694011e-05	20	18	0.443470712181935
Mcm10	0.0184298123095392	3.9129113183735e-05	20	16	1.56189563274446
Gabpb2	0.0184298123095392	3.9129113183735e-05	20	18	1.46163336741865
Hsf1	0.0184298123095392	3.9129113183735e-05	20	18	1.39722657034068
Oplah	0.0184298123095392	3.9129113183735e-05	20	18	1.38559745310315
F7	0.0184298123095392	3.9129113183735e-05	20	6	0.915475214389989
Dnaja1	0.0184298123095392	3.9129113183735e-05	20	18	0.71659046081787
Ncor2	0.0185334650307491	6.79667700413499e-05	20	18	1.35443860036442
Qrich1	0.0185334650307491	6.79667700413499e-05	20	18	1.32528960544668
Pdcd4	0.0185334650307491	6.79667700413499e-05	20	16	1.28114048945743
Alg6	0.0185334650307491	6.79667700413499e-05	20	8	1.27453959576364
Chd8	0.0185334650307491	6.79667700413499e-05	20	18	1.22364887728605
Ahr	0.0185334650307491	6.79667700413499e-05	20	18	1.04307919231285
Mat1a	0.0185334650307491	6.79667700413499e-05	20	18	0.94649071946734
Ugt1a2	0.0185334650307491	6.79667700413499e-05	20	14	0.689260414935536
Rapgef4	0.0220700844796608	0.000115014916222899	20	18	1.57335600673375
Herc4	0.0220700844796608	0.000115014916222899	20	18	1.53503306314168
Znf750	0.0220700844796608	0.000115014916222899	20	18	1.4701547796372
Nfe2l1	0.0220700844796608	0.000115014916222899	24	4	1.3642021866509
Prpf39	0.0220700844796608	0.000115014916222899	20	16	1.19152488504887
Bag3	0.0220700844796608	0.000115014916222899	20	18	1.18181830999795
Hnf1a	0.0220700844796608	0.000115014916222899	20	16	1.12132940459643
Med11	0.0220700844796608	0.000115014916222899	24	14	0.206339192947206
Zfhx2	0.0259075408250345	0.000190018635659392	20	18	1.56766254964163
Hes6	0.0259075408250345	0.000190018635659392	20	18	1.49311789756116
Fam222b	0.0259075408250345	0.000190018635659392	20	16	1.4078597641717
Gck	0.0259075408250345	0.000190018635659392	20	18	1.40197934410826
Pias2	0.0259075408250345	0.000190018635659392	20	18	1.29348265584987
Slc7a2	0.0259075408250345	0.000190018635659392	24	12	0.865982447621604
Tef	0.0259075408250345	0.000190018635659392	20	14	0.715692368013933
Pygl	0.0259075408250345	0.000190018635659392	20	18	0.585142137800637
Bhmt2	0.0259075408250345	0.000190018635659392	20	18	0.542815829318077
Acnat2	0.0259075408250345	0.000190018635659392	20	2	0.491609851220175
Actr10	0.0259075408250345	0.000190018635659392	24	2	0.434053254799562
Zbtb5	0.0324670649853348	0.00030706160669396	20	18	1.55836960860722
Sox13	0.0324670649853348	0.00030706160669396	20	18	1.37896909561757
Sult1a1	0.0324670649853348	0.00030706160669396	20	18	1.12528662123481
Hipk3	0.0324670649853348	0.00030706160669396	20	18	1.11431126255779
Gpatch11	0.0324670649853348	0.00030706160669396	20	0	0.974966425499564
Gcdh	0.0324670649853348	0.00030706160669396	24	2	0.89241829857186
Tgs1	0.0324670649853348	0.00030706160669396	20	18	0.868090444440146
Foxj2	0.0324670649853348	0.00030706160669396	24	16	0.851377968624151
Mpc1	0.0324670649853348	0.00030706160669396	24	6	0.754987456207451
Ipo5	0.0324670649853348	0.00030706160669396	24	20	0.654820977835326
Hrg	0.0324670649853348	0.00030706160669396	20	4	0.364644725162709
Tbl3	0.0406223632287903	0.000486119768420189	20	16	1.39163348255172
Nr1d2	0.0406223632287903	0.000486119768420189	24	16	1.35074007968632
Eif3i	0.0406223632287903	0.000486119768420189	20	18	1.17360637053744
Mcm5	0.0406223632287903	0.000486119768420189	20	18	1.16223601946271
Ubr5	0.0406223632287903	0.000486119768420189	20	18	1.14182272122792
Cic	0.0406223632287903	0.000486119768420189	20	18	1.0163115449139
Ttc36	0.0406223632287903	0.000486119768420189	20	18	0.810367978025086
Nid2	0.0406223632287903	0.000486119768420189	20	2	0.67243838154713
Ech1	0.0406223632287903	0.000486119768420189	20	2	0.650734556641004
Dedd2	0.0406223632287903	0.000486119768420189	20	14	0.459785344360755
Srebf2	0.0406223632287903	0.000486119768420189	20	2	0.399949124291605
