BH.Q	ADJ.P	PER	LAG	AMP
Dnaja1	0.000613676560367737	1.1943880116149e-07	20	18	1.13547073940783
Hes6	0.00118012611027317	6.89057674351792e-07	20	18	1.52369392092303
Tef	0.00118012611027317	6.89057674351792e-07	20	14	0.770701592322574
Hhex	0.00193411082381671	1.50573049732714e-06	20	18	1.29536316383125
E4f1	0.002677936238598	3.12721242343091e-06	20	18	1.44703434157163
Bhmt2	0.002677936238598	3.12721242343091e-06	20	18	0.525359266658057
Ido2	0.00290191507838567	6.21274150685915e-06	20	18	1.570412808351
Pias2	0.00290191507838567	6.21274150685915e-06	20	18	1.41546431668909
Ncoa2	0.00290191507838567	6.21274150685915e-06	20	18	1.39783380060193
Zfpm1	0.00290191507838567	6.21274150685915e-06	20	18	1.37166721744873
Oplah	0.00290191507838567	6.21274150685915e-06	20	18	1.35274043201105
Nacc1	0.00381112707502873	1.18680485014519e-05	20	18	1.44252546288453
Gabpb2	0.00381112707502873	1.18680485014519e-05	20	18	1.40000772435728
Dbp	0.00381112707502873	1.18680485014519e-05	24	14	1.27096743214984
Bag3	0.00381112707502873	1.18680485014519e-05	20	18	1.2133948847903
Gnl2	0.00381112707502873	1.18680485014519e-05	20	18	1.07111610403132
Sox5	0.00489050257784273	2.18920901694011e-05	20	18	1.4454822804574
Insig2	0.00489050257784273	2.18920901694011e-05	24	6	1.36279634802659
Foxj3	0.00489050257784273	2.18920901694011e-05	20	18	1.35579205955553
Sult1a1	0.00489050257784273	2.18920901694011e-05	20	18	1.18444137967899
Nek6	0.00489050257784273	2.18920901694011e-05	20	18	0.876180765306982
Alad	0.00489050257784273	2.18920901694011e-05	24	8	0.866514186193649
Cmss1	0.00489050257784273	2.18920901694011e-05	20	16	0.744373926890105
Trmt1l	0.00628266823556346	3.9129113183735e-05	20	18	1.53810586956003
Ncor2	0.00628266823556346	3.9129113183735e-05	20	18	1.3509186358053
Rere	0.00628266823556346	3.9129113183735e-05	20	18	1.30618125062169
Rsrp1	0.00628266823556346	3.9129113183735e-05	20	18	1.13732968825103
Tspyl1	0.00628266823556346	3.9129113183735e-05	20	18	1.12554538579872
Rdh12	0.00628266823556346	3.9129113183735e-05	20	6	1.06162281329509
Gabpb1	0.00628266823556346	3.9129113183735e-05	20	18	0.905534442891272
Cipc	0.00628266823556346	3.9129113183735e-05	20	12	0.890370146403424
Znf750	0.00628266823556346	3.9129113183735e-05	20	18	0.59815211002162
Zbtb5	0.00970036845756821	6.79667700413499e-05	20	18	1.54207746338987
Rlim	0.00970036845756821	6.79667700413499e-05	20	18	1.40600233220359
