"","CT0","CT4","CT8","CT12","CT16","CT20"
"Syne2",0.34025779238205,-0.946038148336356,0.815563271438982,-0.0269407346305375,-1.37723825708863,1.19439607623451
"Tpr",0.137221394391517,0.378589126976176,0.955164312686681,-1.47232593734736,0.938160783290345,-0.93680967999734
"Ranbp2",0.793721535905693,-0.903588508679107,1.24545501731563,-0.561759142580978,-1.15931418494133,0.585485282980181
"Plec",-1.1676271893504,0.192416187051639,-0.529733468429062,0.240838335739757,-0.477455820676126,1.74156195566419
"Syne1",-0.481380498446203,-0.708894262249587,1.72146363554928,0.51352799136047,-0.0259326939676364,-1.01878417224633
"Prpf8",-0.64762118100575,-0.550630247996429,-0.878982011091472,1.85241241475064,0.26745850369571,-0.0426374783526587
"Numa1",0.898496312552338,0.786209623615964,-1.86398400151674,0.00887970467184643,-0.121616917122025,0.292015277798619
"Snrnp200",-0.422794306009991,-0.916047243696257,-1.13551319123893,1.29603410921751,0.189918505170356,0.988402126557324
"Myh9",-0.16211191302189,-0.781699240954322,1.96317027649289,-0.292376992783398,-0.645353332169149,-0.0816287975641459
"Lmna",0.543738071826068,-1.93018826210645,0.793600973348357,0.574436852926077,-0.0876764057002347,0.106088769706209
"Sptan1",-0.405978016375278,0.871119000454933,0.355839264468863,-0.276013936267516,-1.63722381307027,1.09225750078927
"Son",-0.729886444663151,-1.67406634156861,0.404252119883074,0.996588072632594,0.551769149518772,0.451343444197321
"Lmnb1",-0.0111157226985298,-0.6767007490233,1.89390976418106,0.157630186666829,-0.668819450435989,-0.694904028690084
"Ahctf1",-0.34091872312222,-0.888361966359074,1.91636404321313,-0.244835894912087,-0.584717095670542,0.142469636850806
"Nup98",0.127976551877213,-0.749444177744135,1.77800167001878,-0.438346323615624,0.27754622158099,-0.9957339421172
"Sf3b2",-0.521598723627187,-0.560677715467795,-1.14234737750821,1.5833165217399,-0.124368267057671,0.765675561920942
"Sf3b1",-0.133458083221055,-0.111453311087759,-1.59403248377234,1.47980412129738,-0.115825297845878,0.474965054629651
"Pdcd11",0.25373554201715,-1.98110741893204,0.810115802068274,0.421267844675846,0.0835628263700533,0.412425403800709
"Rrbp1",1.91538511928116,-0.020063981285917,-0.635242239869783,-0.523584874045791,-0.805289191980406,0.0687951679007448
"Hnrnpm",-0.251397554519701,-0.451451601952632,-1.65582194836388,0.819726229647066,1.02939323320882,0.50955164198034
"Polr2a",1.00819710051685,-0.171011564884108,-1.87619159708192,0.158546995582601,0.543809234330123,0.336649831536466
"Lmnb2",0.100210524836059,-1.24798972198139,1.61607614570273,0.527275843532193,-0.344204189255771,-0.651368602833835
"Utp20",1.11678478884204,-1.06178889532224,1.03109724851314,0.473694654954009,-1.02624621667149,-0.533541580315434
"Mybbp1a",0.465872751087262,-1.72718972047213,-0.643018670333846,0.35922017602462,0.950848513935513,0.594266949758577
"Dhx9",-0.526711087124979,-1.36555049327618,-0.727815199579394,1.03436549321766,0.814993848265532,0.770717438497354
"Smc1a",0.793722886090581,0.423005189634605,0.509764565685223,0.674401873575818,-0.655357561166923,-1.7455369538193
"Sfpq",-0.815754702697528,-1.17061557831445,0.712183217444816,1.01800000049161,-0.704930655079833,0.961117718155348
"Supt6h",0.39110868055484,0.315212281528396,-1.05109067175053,1.66481223151914,-0.656298267297873,-0.663744254553978
"Acin1",0.581042383023816,-0.842241239101857,-1.56470671751939,0.817101732662658,0.0993003923456248,0.909503448589143
"Krt8",-1.64830378844933,0.0209796403635693,1.05919204757038,-0.494408924540953,0.111848420592251,0.950692604464097
"Chd4",1.53083116718821,0.630114804943008,0.102569712879457,-0.468245517652411,-0.440339023969597,-1.35493114338868
"Znf638",-0.850008334847417,-0.334891322767706,0.219060906097662,0.237159574733437,-1.0132696843732,1.74194886115723
"Nup155",0.0746953314827202,-1.10596539868129,1.72839931036329,0.333351060500095,-0.248942188403248,-0.781538115261562
"Sptbn1",-0.800035406100699,1.45334850447391,-0.0616147854747062,-0.0900753476458044,-1.27794310122537,0.776320135972657
"Urb1",0.75215451833062,-1.84087743813005,0.573074764063535,-0.132609860818539,0.818757429383528,-0.170499412829104
"Trrap",0.469426741073464,-1.32680099716986,-0.984489757330319,0.814108902180112,1.1692797136264,-0.141524602379813
"Myh1",1.63888493862604,-0.870274871772649,-0.21504854542677,-0.953085336984095,0.710766129602175,-0.311242314044703
"Nup93",0.0335683679910066,-0.938670476412467,1.28738391212397,0.941674744578462,-0.071541245854913,-1.25241530242608
"Atrx",0.631872222246258,1.04748690833759,0.534287611391872,-1.03738074906788,-1.43962749389819,0.263361500990351
"Prpf6",-1.38590691103908,-0.869610881047197,-0.124804639795257,0.34564940451826,1.26027897230116,0.774394055062219
"Spen",0.228753236736053,0.187600376489923,-1.29900154282313,-1.0816477017526,0.731266735489306,1.23302889586047
"Nup210",0.210673171831818,-0.801903639427303,1.91760371324471,-0.298815717315819,-0.418554563562722,-0.609002964770703
"Thrap3",-1.48508943314591,-0.167815080576689,0.501569160657043,1.19510742226219,-0.758613970677898,0.714841901481256
"Srrm2",-1.09674989779368,0.184392932981649,-0.995880784368911,1.51454403657545,-0.2503775632463,0.644071275851767
"Myh4",1.26054851127238,-0.217872878274614,-0.894708960775624,-0.638047274484203,1.25396321996964,-0.763882617707578
"Nup107",-0.033428516884593,-0.978016722411835,1.91757879458977,-0.112727080175753,-0.259220366812727,-0.534186108304859
"Ddx21",0.566862387230687,-1.63674547400688,-0.456745241698765,0.0335465517920372,1.32763602013066,0.165445756552262
"Nup214",-0.273466399561629,-1.43103459578639,0.763617912518984,0.35651130894176,1.29128505599342,-0.706913282106178
"Smchd1",0.679638086872689,-0.387260714136903,-0.28600182677745,0.964051187390395,0.720204704148037,-1.69063143749676
"Lrp1",1.72901623152919,0.512729726037674,-0.0777411792212826,-0.815390601291774,-0.963552206246276,-0.385061970807531
"Sf3b3",0.529611959190401,0.428681260646423,-1.20065333330959,1.46358721416991,-0.931853159865728,-0.289373940831415
"Dsp",0.213164794437276,0.324097211546203,1.27105442617112,0.288933301766204,-1.73827395798653,-0.358975775934282
"Dido1",-0.0604409071116026,0.996620142809518,0.0433136498679694,-0.0536517478530253,-1.79891265327171,0.873071515558845
"Nipbl",1.30290769442283,0.170082611540153,-0.220803237294566,0.437966164841234,0.0506426577805676,-1.74079589129021
"Sltm",-0.996563241694749,0.382953271629711,-1.06230893697974,1.02391211553605,1.18354516471833,-0.53153837320958
"Mad1l1",0.0274412190889186,-1.22845288870664,-0.836964934546653,0.214564421853843,1.64695648851586,0.176455693794665
"Tasor",-0.985106535838366,-0.745180107801981,-0.535187321028346,1.00733915536301,-0.202095178201573,1.46022998750726
"Smc3",0.78302505102157,-0.252733198053842,0.520245526410018,1.16340150998916,-0.754778788962811,-1.45916010040409
"Mia3",-0.344583986245101,-1.48485949474026,1.54888107258621,0.382375421189917,-0.301932075581455,0.200119062790694
"Top2b",0.76091272561863,1.11087504258779,-0.431855846510686,0.234333808226235,0.0414949830806092,-1.71576071300257
"Cdc5l",-1.07928768075851,0.262805728172666,0.136828553535422,1.18837346869461,-1.30453136432345,0.795811294679252
"Itpr2",0.753864963250368,-1.24315362347095,1.42916717173792,-0.0479769219842108,0.0250544457097338,-0.916956035242859
"Smarca5",0.998937646401917,-0.024946598052408,-1.2515239622057,0.182595486853728,1.14230690897335,-1.04736948197089
"Sf3a1",0.295440004827203,0.1459576648935,-1.35685337353713,1.56901987929771,0.106209851537577,-0.759774027018829
"Matr3",0.742543225988533,0.831494182163855,-1.9100999064089,0.248536470942796,0.190672084148681,-0.103146056834949
"Eppk1",-1.25433730207897,-0.271666728796149,0.437276418137304,-0.733432768424391,0.216974074024638,1.60518630713757
"Ddx5",-0.240273518564094,-0.558012877954535,-0.460873070324245,1.62437688144043,-1.10813400258867,0.742916587991072
"Myh10",0.500792917149395,-0.277312331769111,0.762760094652986,-0.407932256262827,-1.65971473965938,1.08140631588893
"Setd2",-0.563569375853879,-0.464110216785102,-1.42397585648423,0.762774150031108,0.380059555907362,1.30882174318475
"Safb2",0.0593104002100677,-0.533190248427825,-1.60001751700551,0.17046033426629,1.34639647896048,0.557040551996505
"Tor1aip1",-0.148457167799906,-0.90042923121346,1.8480951597621,0.32928632472352,-0.507011685305501,-0.621483400166751
"Myh2",-0.667551392614221,-0.360287407871062,-0.885930264095227,0.638747012849318,1.73725129667598,-0.462229244944788
"Cebpz",1.27703477189047,-1.23577411266344,0.82068234865085,0.0688631884876165,0.138990312660547,-1.06979650902605
"Polr2b",0.922376222378097,0.308231714078369,-1.93144136512656,0.0959238099184585,0.0459490909527108,0.558960527798898
"Pnn",-0.742252979941941,-0.901103577785526,-1.06209914365933,0.888368874332513,1.09417307104133,0.72291375601292
"Nono",-0.673525290745557,-1.04107237899803,0.515071359965162,1.43441858059199,-0.863130259136647,0.628237988323117
"Ccar1",0.829443372170019,1.30803235757431,-1.46079810612136,-0.0472982329198574,-0.679961926362779,0.0505825356596683
"Nup133",-0.655389668390039,-1.01543483578945,1.7866243578841,0.232075624035418,0.167355471852239,-0.515230949592264
"Sart1",0.88175413083876,0.284673061638302,-1.18014510768462,1.35349639418456,-0.571724199635448,-0.768054279341571
"Flna",1.73787633895742,0.392340667885433,-0.423863270701173,-0.943452353674859,0.100774855179351,-0.863676237646168
"Chd2",-0.175873061427041,1.06395652727331,1.40368947526773,-0.663969637746558,-1.03861653134588,-0.58918677202156
"Nup188",-0.266419619660152,-1.33199708954211,1.67592604283969,-0.299600359665903,0.451378916612866,-0.229287890584402
"Mcm3ap",-0.241944948205254,-0.888319894923708,1.94196262175337,-0.221444943390326,-0.0141508721247718,-0.57610196310932
"Sympk",0.505000720923081,-0.288646574173798,-1.91414143619016,0.441169714011486,0.546012349928033,0.710605225501373
"Sun2",-0.104144124281511,-0.9445646078813,1.53095170740209,0.312526515403695,0.421039496150953,-1.21580898679393
