"","Gene_names_unique","variance_ratio","p_val","q_value_BH"
"Mybbp1a","Mybbp1a",4.13412822990122,0.01,0.765108140947752
"Atrx","Atrx",9.95241959520253,0.002,0.612235294117647
"Mad1l1","Mad1l1",6.00639873275349,0.007,0.765108140947752
"Sympk","Sympk",2.02762432803213,0.003,0.743428571428571
"Rpn1","Rpn1",6.05731741837494,0.001,0.578222222222222
"Prpf40a","Prpf40a",3.07213099373794,0.047,0.765108140947752
"Prpf4","Prpf4",29.2348765631108,0.005,0.765108140947752
"Ncl","Ncl",11.019095392206,0.05,0.765108140947752
"Atp13a1","Atp13a1",8.65976175711298,0.034,0.765108140947752
"Mfap1b","Mfap1b",87.932470023926,0.014,0.765108140947752
"Ktn1","Ktn1",8.58739224067852,0.03,0.765108140947752
"Cyp2c54","Cyp2c54",9.032880209202,0.05,0.765108140947752
"Rpl4","Rpl4",4.2628458648617,0.016,0.765108140947752
"Sfswap","Sfswap",4.62255005276544,0.03,0.765108140947752
"Rfc1","Rfc1",5.68012434715708,0.036,0.765108140947752
"Smc5","Smc5",5.45077963058381,0.018,0.765108140947752
"Med14","Med14",4.13300540280889,0.044,0.765108140947752
"Tp53bp1","Tp53bp1",10.1429063622144,0.018,0.765108140947752
"Dis3","Dis3",8.29075814294898,0.043,0.765108140947752
"Abcc2","Abcc2",25.7195853441504,0.04,0.765108140947752
"Krt14","Krt14",98.3957461866166,0.023,0.765108140947752
"Phf2","Phf2",7.21303147294651,0.029,0.765108140947752
"Acadvl","Acadvl",7.50900169759238,0.016,0.765108140947752
"Pdzk1","Pdzk1",21.0928201620506,0.009,0.765108140947752
"Acacb","Acacb",12.8323051868272,0.043,0.765108140947752
"Eef2","Eef2",3.34239609142429,0.012,0.765108140947752
"Ints12","Ints12",5.90856815157828,0.05,0.765108140947752
"Smc6","Smc6",3.51870470105028,0.022,0.765108140947752
"Nifk","Nifk",2.14091204721012,0.001,0.578222222222222
"Sdad1","Sdad1",5.06986366255209,0.001,0.578222222222222
"Cyp4b1","Cyp4b1",28.0893424601914,0.012,0.765108140947752
"Cdk11b","Cdk11b",2.09212119046301,0.014,0.765108140947752
"Akap13","Akap13",20.4154664442247,0.002,0.612235294117647
"Cyp8b1","Cyp8b1",10.2958474238555,0.037,0.765108140947752
"Actn1","Actn1",9.90264686139519,0.047,0.765108140947752
"Sel1l","Sel1l",3.26291121878751,0.006,0.765108140947752
"Gsn","Gsn",27.7263997832733,0.004,0.765108140947752
"Ccnt1","Ccnt1",34.5921261436642,0.012,0.765108140947752
"Tmx3","Tmx3",13.0125157428178,0.026,0.765108140947752
"Rbm4","Rbm4",10.7016446314836,0.012,0.765108140947752
"Eloa","Eloa",4.56166939680004,0.008,0.765108140947752
"Rexo4","Rexo4",4.41222853772732,0.023,0.765108140947752
"Brpf3","Brpf3",15.0241902505321,0.032,0.765108140947752
"Tent4b","Tent4b",2.77040414293805,0.019,0.765108140947752
"Sap18","Sap18",6.99690081733357,0.045,0.765108140947752
"Phf20l1","Phf20l1",6.83558782387089,0.049,0.765108140947752
"Zcchc9","Zcchc9",6.53711118357792,0.026,0.765108140947752
"Zmym2","Zmym2",16.4491032674018,0.028,0.765108140947752
"Acat1","Acat1",9.25823248335635,0.041,0.765108140947752
"Kat2b","Kat2b",6.91202080490174,0.001,0.578222222222222
"Znf219","Znf219",66.8169348922642,0.034,0.765108140947752
"Bud13","Bud13",12.7015620771729,0.039,0.765108140947752
"Anxa6","Anxa6",12.6557032232445,0.01,0.765108140947752
"Anapc7","Anapc7",14.0719518726358,0.038,0.765108140947752
"Ddost","Ddost",3.19746411911302,0.003,0.743428571428571
"Clock","Clock",5.05012966021033,0.026,0.765108140947752
"Tcea3","Tcea3",8.69857036741143,0.023,0.765108140947752
"Nop53","Nop53",9.79402731649396,0.04,0.765108140947752
"Itga1","Itga1",18.20333066671,0.045,0.765108140947752
"Adar","Adar",4.89810819112984,0.043,0.765108140947752
"Mylk","Mylk",49.1780320829119,0.005,0.765108140947752
"Cp","Cp",5.80839483703475,0.049,0.765108140947752
"Tubb5","Tubb5",23.4428699232485,0.029,0.765108140947752
"Hspd1","Hspd1",33.8936829076128,0.009,0.765108140947752
"Yeats2","Yeats2",4.2108169453998,0.043,0.765108140947752
"Cse1l","Cse1l",43.6049771572546,0.024,0.765108140947752
"Pphln1","Pphln1",5.5665974263192,0.035,0.765108140947752
"Rsrc1","Rsrc1",10.7296213063215,0.042,0.765108140947752
"Abt1","Abt1",5.97796318922889,0.046,0.765108140947752
"Xrcc1","Xrcc1",5.32806879986229,0.049,0.765108140947752
"Vwf","Vwf",38.0543682600975,0.011,0.765108140947752
"Mlec","Mlec",2.69069237284441,0.01,0.765108140947752
"Lss","Lss",35.5492129349191,0.018,0.765108140947752
"Isy1","Isy1",2.70051968330955,0.048,0.765108140947752
"Mthfd1","Mthfd1",7.11066711709267,0.005,0.765108140947752
"Tnpo3","Tnpo3",8.78937857284359,0.043,0.765108140947752
"Vdac3","Vdac3",37.623294973139,0.05,0.765108140947752
"Spin1","Spin1",3.91290461540907,0.032,0.765108140947752
"Rab10","Rab10",62.2143632015081,0.036,0.765108140947752
"Rpl23a","Rpl23a",14.3221724399345,0.027,0.765108140947752
"Actn3","Actn3",2.67049163742567,0.022,0.765108140947752
"Ipo7","Ipo7",20.5272913848282,0.009,0.765108140947752
"Msn","Msn",67.32861763192,0.015,0.765108140947752
"Ppil3","Ppil3",25.5558443406116,0.008,0.765108140947752
"Pgap1","Pgap1",2.87429223771663,0.024,0.765108140947752
"Rpl18","Rpl18",3.40142715239337,0.049,0.765108140947752
"Rps16","Rps16",6.8743322791541,0.009,0.765108140947752
"Nr1d2","Nr1d2",14.5955978334948,0.028,0.765108140947752
"Myo7a","Myo7a",6.38254123464749,0.033,0.765108140947752
"Tsr1","Tsr1",8.02302473077214,0.007,0.765108140947752
"Nxt1","Nxt1",5.41485382593001,0.036,0.765108140947752
"Anxa2","Anxa2",5.6698025747426,0.03,0.765108140947752
"Med25","Med25",5.04235706759409,0.025,0.765108140947752
"Erc1","Erc1",4.78307605691077,0.007,0.765108140947752
"Bmi1","Bmi1",517.166589441509,0.05,0.765108140947752
"Cwc27","Cwc27",15.6130889822939,0.028,0.765108140947752
"Anapc5","Anapc5",1.8073682249378,0.033,0.765108140947752
"Arcn1","Arcn1",4.59352563833933,0.022,0.765108140947752
